,xmin,ymin,xmax,ymax,image,labels
132,72,71,90,88,maksssksksss12.png,1
133,119,70,137,88,maksssksksss12.png,1
134,163,76,185,96,maksssksksss12.png,1
135,36,70,46,82,maksssksksss12.png,1
136,120,55,132,68,maksssksksss12.png,1
137,94,59,102,69,maksssksksss12.png,1
138,153,61,171,81,maksssksksss12.png,1
139,335,70,353,87,maksssksksss12.png,1
140,273,58,290,75,maksssksksss12.png,1
141,232,61,249,78,maksssksksss12.png,1
142,298,61,312,84,maksssksksss12.png,2
143,354,54,365,68,maksssksksss12.png,1
144,38,82,45,98,maksssksksss12.png,1
145,59,185,183,336,maksssksksss120.png,1
146,11,48,41,75,maksssksksss121.png,2
147,91,41,121,72,maksssksksss121.png,2
148,176,56,204,83,maksssksksss121.png,2
149,239,56,266,81,maksssksksss121.png,2
150,301,62,329,87,maksssksksss121.png,2
151,343,74,368,97,maksssksksss121.png,2
152,387,82,400,107,maksssksksss121.png,2
153,201,38,345,213,maksssksksss122.png,1
154,92,106,191,224,maksssksksss123.png,1
155,227,129,321,229,maksssksksss123.png,1
156,91,146,143,204,maksssksksss124.png,1
157,239,126,290,182,maksssksksss124.png,1
158,378,146,399,171,maksssksksss124.png,1
159,1,170,20,196,maksssksksss124.png,2
160,333,133,360,170,maksssksksss124.png,2
161,118,151,216,279,maksssksksss125.png,2
162,106,45,158,104,maksssksksss126.png,1
163,194,62,215,88,maksssksksss126.png,1
164,226,2,267,97,maksssksksss126.png,2
165,98,46,130,80,maksssksksss127.png,1
166,93,183,194,295,maksssksksss128.png,2
167,106,69,124,89,maksssksksss129.png,2
168,149,30,168,53,maksssksksss129.png,2
169,246,40,271,69,maksssksksss129.png,1
170,28,54,44,71,maksssksksss13.png,1
171,98,62,114,80,maksssksksss13.png,1
172,162,51,194,89,maksssksksss13.png,0
173,293,60,313,81,maksssksksss13.png,1
174,352,53,373,71,maksssksksss13.png,1
175,229,53,241,72,maksssksksss13.png,1
176,7,104,46,147,maksssksksss130.png,0
177,162,58,208,112,maksssksksss130.png,0
178,304,95,332,141,maksssksksss130.png,2
179,198,95,223,136,maksssksksss130.png,2
180,65,63,110,112,maksssksksss131.png,1
181,127,31,166,76,maksssksksss131.png,1
182,257,55,284,86,maksssksksss131.png,2
183,284,66,321,107,maksssksksss131.png,1
184,252,125,295,167,maksssksksss131.png,2
185,345,93,363,116,maksssksksss131.png,1
186,236,74,256,99,maksssksksss131.png,2
187,216,63,237,83,maksssksksss131.png,2
188,106,72,190,182,maksssksksss132.png,0
189,100,179,221,318,maksssksksss133.png,1
190,92,19,117,50,maksssksksss134.png,1
191,156,22,177,48,maksssksksss134.png,2
192,179,24,197,47,maksssksksss134.png,1
193,183,74,205,100,maksssksksss134.png,1
194,269,70,285,89,maksssksksss134.png,1
195,343,15,359,34,maksssksksss134.png,2
196,302,43,318,59,maksssksksss134.png,1
197,49,157,144,225,maksssksksss135.png,1
198,151,67,270,198,maksssksksss135.png,1
199,100,105,152,158,maksssksksss136.png,1
200,38,143,53,161,maksssksksss137.png,2
201,76,146,95,164,maksssksksss137.png,2
202,114,142,131,163,maksssksksss137.png,1
203,158,165,175,185,maksssksksss137.png,1
204,217,153,241,174,maksssksksss137.png,2
205,283,158,310,181,maksssksksss137.png,2
206,51,144,128,239,maksssksksss138.png,1
207,147,169,217,233,maksssksksss138.png,1
208,224,92,309,186,maksssksksss138.png,1
209,2,28,19,46,maksssksksss139.png,1
210,23,36,45,59,maksssksksss139.png,1
211,30,71,51,92,maksssksksss139.png,2
212,4,177,35,209,maksssksksss139.png,1
213,93,15,117,34,maksssksksss139.png,1
214,99,74,122,100,maksssksksss139.png,1
215,56,132,79,162,maksssksksss139.png,0
216,36,152,65,183,maksssksksss139.png,1
217,138,191,165,221,maksssksksss139.png,1
218,182,13,209,36,maksssksksss139.png,1
219,188,55,213,80,maksssksksss139.png,1
220,196,146,219,168,maksssksksss139.png,1
221,213,164,243,193,maksssksksss139.png,1
222,253,13,277,35,maksssksksss139.png,1
223,246,73,268,98,maksssksksss139.png,1
224,286,10,314,38,maksssksksss139.png,1
225,320,1,341,15,maksssksksss139.png,1
226,345,34,372,57,maksssksksss139.png,1
227,358,116,388,141,maksssksksss139.png,1
228,152,192,239,319,maksssksksss14.png,2
229,37,74,188,247,maksssksksss140.png,1
230,210,114,336,255,maksssksksss140.png,1
231,129,96,175,155,maksssksksss141.png,1
232,220,123,260,169,maksssksksss141.png,1
233,144,110,244,235,maksssksksss142.png,1
234,102,200,194,333,maksssksksss143.png,1
235,130,19,155,47,maksssksksss144.png,1
236,212,56,232,79,maksssksksss144.png,1
237,298,60,316,80,maksssksksss144.png,1
238,91,89,114,111,maksssksksss145.png,0
239,183,102,203,122,maksssksksss145.png,0
240,310,96,333,119,maksssksksss145.png,2
241,119,122,184,192,maksssksksss146.png,1
242,265,90,324,153,maksssksksss146.png,1
243,103,9,120,33,maksssksksss147.png,2
244,198,15,218,36,maksssksksss147.png,1
245,224,89,243,109,maksssksksss147.png,1
246,272,33,294,55,maksssksksss147.png,1
247,1,20,81,136,maksssksksss148.png,1
248,68,95,124,157,maksssksksss148.png,2
249,116,104,140,144,maksssksksss148.png,2
250,151,89,247,205,maksssksksss148.png,1
251,325,77,397,156,maksssksksss148.png,2
252,243,120,283,179,maksssksksss148.png,1
253,38,98,71,130,maksssksksss149.png,1
254,180,103,215,136,maksssksksss149.png,1
255,287,53,315,85,maksssksksss149.png,1
256,315,57,341,89,maksssksksss149.png,1
257,330,104,359,133,maksssksksss149.png,1
258,324,180,348,210,maksssksksss149.png,1
259,59,144,125,213,maksssksksss15.png,1
260,82,330,118,366,maksssksksss15.png,1
261,60,136,164,260,maksssksksss150.png,1
262,59,131,64,138,maksssksksss151.png,2
263,82,127,89,134,maksssksksss151.png,1
264,101,142,105,146,maksssksksss151.png,1
265,111,132,116,138,maksssksksss151.png,1
266,126,131,132,138,maksssksksss151.png,1
267,134,134,139,140,maksssksksss151.png,1
268,143,134,149,139,maksssksksss151.png,1
269,170,142,180,152,maksssksksss151.png,0
270,225,105,235,117,maksssksksss151.png,1
271,278,100,288,113,maksssksksss151.png,1
272,66,25,82,48,maksssksksss152.png,1
273,101,41,124,68,maksssksksss152.png,1
274,173,34,193,60,maksssksksss152.png,1
275,204,75,225,99,maksssksksss152.png,1
276,289,25,312,54,maksssksksss152.png,1
277,350,17,368,39,maksssksksss152.png,1
278,152,50,167,65,maksssksksss152.png,1
279,89,21,112,44,maksssksksss153.png,1
280,289,21,311,44,maksssksksss153.png,2
281,90,200,184,333,maksssksksss154.png,2
282,43,108,107,174,maksssksksss155.png,1
283,77,53,163,140,maksssksksss155.png,1
284,278,92,314,137,maksssksksss155.png,1
285,381,97,392,111,maksssksksss155.png,1
286,327,33,352,59,maksssksksss156.png,1
287,27,47,47,65,maksssksksss156.png,1
288,249,43,268,63,maksssksksss156.png,1
289,278,73,291,87,maksssksksss156.png,1
290,366,70,385,91,maksssksksss156.png,0
291,181,40,203,67,maksssksksss156.png,0
292,36,63,59,88,maksssksksss156.png,0
293,1,45,19,64,maksssksksss156.png,2
294,68,68,90,91,maksssksksss156.png,2
295,87,55,102,71,maksssksksss156.png,2
296,137,58,155,74,maksssksksss156.png,2
297,233,50,250,67,maksssksksss156.png,2
298,281,33,300,51,maksssksksss156.png,2
299,22,78,43,98,maksssksksss157.png,1
300,84,61,111,95,maksssksksss157.png,2
301,144,78,173,119,maksssksksss157.png,1
302,193,71,217,97,maksssksksss157.png,1
303,225,43,259,80,maksssksksss157.png,1
304,297,62,316,86,maksssksksss157.png,1
305,320,40,352,74,maksssksksss157.png,1
306,368,75,395,104,maksssksksss157.png,1
307,2,56,24,78,maksssksksss158.png,1
308,29,70,42,85,maksssksksss158.png,1
309,90,55,104,72,maksssksksss158.png,1
310,113,52,133,76,maksssksksss158.png,1
311,133,60,144,74,maksssksksss158.png,1
312,151,70,166,85,maksssksksss158.png,1
313,180,70,195,84,maksssksksss158.png,1
314,217,78,238,98,maksssksksss158.png,1
315,238,52,256,70,maksssksksss158.png,1
316,280,59,293,74,maksssksksss158.png,1
317,293,56,310,75,maksssksksss158.png,1
318,323,82,342,101,maksssksksss158.png,1
319,354,64,371,86,maksssksksss158.png,1
320,166,68,174,78,maksssksksss158.png,1
321,5,114,58,178,maksssksksss159.png,1
322,125,82,136,95,maksssksksss159.png,1
323,157,82,170,99,maksssksksss159.png,1
324,213,65,225,79,maksssksksss159.png,1
325,51,89,57,96,maksssksksss159.png,1
326,175,80,180,86,maksssksksss159.png,1
327,193,79,200,87,maksssksksss159.png,1
328,253,75,261,80,maksssksksss159.png,1
329,276,75,288,87,maksssksksss159.png,1
330,326,32,395,105,maksssksksss159.png,1
331,290,66,296,74,maksssksksss159.png,2
332,85,86,89,95,maksssksksss159.png,1
333,48,227,146,345,maksssksksss16.png,1
334,71,82,151,153,maksssksksss160.png,1
335,246,107,326,195,maksssksksss160.png,1
336,123,227,190,328,maksssksksss161.png,2
337,86,181,191,308,maksssksksss162.png,1
338,209,108,226,126,maksssksksss163.png,1
339,161,124,184,152,maksssksksss163.png,1
340,12,47,40,73,maksssksksss164.png,1
341,44,51,66,75,maksssksksss164.png,1
342,80,42,99,63,maksssksksss164.png,1
343,153,39,179,65,maksssksksss164.png,2
344,203,35,225,59,maksssksksss164.png,2
345,256,45,271,63,maksssksksss164.png,1
346,292,58,311,77,maksssksksss164.png,1
347,327,64,346,83,maksssksksss164.png,1
348,361,37,386,64,maksssksksss164.png,1
349,15,111,114,219,maksssksksss165.png,1
350,324,135,410,238,maksssksksss165.png,1
351,98,1,150,58,maksssksksss166.png,1
352,205,115,235,155,maksssksksss166.png,1
353,255,141,278,171,maksssksksss166.png,1
354,303,180,325,207,maksssksksss166.png,1
355,329,195,347,218,maksssksksss166.png,1
356,351,204,372,226,maksssksksss166.png,1
357,45,69,96,113,maksssksksss167.png,1
358,185,113,222,155,maksssksksss167.png,1
359,271,32,311,75,maksssksksss167.png,1
360,20,90,30,105,maksssksksss167.png,1
361,40,74,62,90,maksssksksss168.png,2
362,35,116,51,133,maksssksksss168.png,1
363,85,79,97,90,maksssksksss168.png,1
364,169,66,287,188,maksssksksss168.png,1
365,363,51,384,81,maksssksksss168.png,2
366,152,262,220,367,maksssksksss169.png,1
367,73,179,169,297,maksssksksss17.png,1
368,102,54,239,210,maksssksksss170.png,1
369,207,122,361,291,maksssksksss171.png,1
370,96,233,186,341,maksssksksss172.png,2
371,48,94,72,116,maksssksksss173.png,1
372,331,77,356,106,maksssksksss173.png,0
373,44,63,95,117,maksssksksss174.png,1
374,102,60,142,104,maksssksksss174.png,1
375,196,44,250,100,maksssksksss174.png,1
376,351,54,392,102,maksssksksss174.png,1
377,113,61,174,122,maksssksksss175.png,1
378,195,50,228,112,maksssksksss175.png,1
379,132,55,157,97,maksssksksss176.png,1
380,15,68,47,104,maksssksksss176.png,1
381,55,47,81,80,maksssksksss176.png,1
382,144,95,169,128,maksssksksss176.png,1
383,166,66,189,95,maksssksksss176.png,1
384,222,47,260,82,maksssksksss176.png,1
385,89,60,104,86,maksssksksss176.png,1
386,237,86,277,135,maksssksksss176.png,0
387,291,79,319,115,maksssksksss176.png,2
388,371,63,392,90,maksssksksss176.png,2
389,387,59,400,92,maksssksksss176.png,2
390,276,76,324,118,maksssksksss177.png,1
391,154,147,199,194,maksssksksss177.png,1
392,91,41,126,76,maksssksksss178.png,1
393,193,86,214,112,maksssksksss178.png,2
394,245,90,265,112,maksssksksss178.png,2
395,170,26,199,57,maksssksksss179.png,1
396,45,57,62,76,maksssksksss179.png,1
397,47,81,64,99,maksssksksss179.png,2
398,89,53,116,76,maksssksksss179.png,2
399,134,86,192,148,maksssksksss18.png,1
400,299,159,354,217,maksssksksss18.png,1
401,58,182,165,316,maksssksksss180.png,1
402,70,58,93,82,maksssksksss181.png,1
403,100,57,124,82,maksssksksss181.png,1
404,271,43,305,80,maksssksksss181.png,2
405,117,48,167,98,maksssksksss182.png,2
406,206,49,271,109,maksssksksss182.png,1
407,158,63,189,99,maksssksksss183.png,1
408,198,56,241,104,maksssksksss183.png,1
409,372,108,390,128,maksssksksss183.png,2
410,35,109,50,130,maksssksksss183.png,2
411,143,44,169,73,maksssksksss184.png,1
412,171,37,195,65,maksssksksss184.png,1
413,250,25,274,46,maksssksksss184.png,1
414,256,49,283,76,maksssksksss184.png,1
415,262,116,294,145,maksssksksss184.png,1
416,294,43,316,63,maksssksksss184.png,1
417,334,38,350,57,maksssksksss184.png,1
418,320,40,335,57,maksssksksss184.png,1
419,374,47,386,61,maksssksksss184.png,1
420,83,11,109,49,maksssksksss184.png,1
421,89,139,121,187,maksssksksss185.png,1
422,115,112,139,154,maksssksksss185.png,1
423,165,102,195,126,maksssksksss185.png,1
424,270,69,288,86,maksssksksss185.png,1
425,87,56,135,119,maksssksksss186.png,1
426,230,97,320,182,maksssksksss187.png,1
427,99,205,198,318,maksssksksss188.png,1
428,124,48,143,96,maksssksksss189.png,2
429,201,89,235,121,maksssksksss189.png,2
430,226,15,271,66,maksssksksss189.png,1
431,1,45,18,68,maksssksksss19.png,2
432,89,38,115,62,maksssksksss19.png,1
433,161,20,195,54,maksssksksss19.png,2
434,104,104,182,175,maksssksksss19.png,1
435,309,77,375,136,maksssksksss19.png,1
436,267,14,287,32,maksssksksss19.png,2
437,143,75,222,155,maksssksksss190.png,1
438,221,82,297,163,maksssksksss191.png,1
439,112,40,157,87,maksssksksss192.png,1
440,13,175,97,254,maksssksksss193.png,1
441,133,56,258,172,maksssksksss193.png,1
442,184,69,199,87,maksssksksss194.png,1
443,205,67,216,78,maksssksksss194.png,2
444,121,145,305,356,maksssksksss195.png,1
445,83,250,154,362,maksssksksss196.png,1
446,169,84,213,128,maksssksksss197.png,1
447,118,19,295,184,maksssksksss198.png,1
448,44,143,53,156,maksssksksss199.png,1
449,134,118,143,128,maksssksksss199.png,0
450,210,101,220,116,maksssksksss199.png,1
451,271,127,281,140,maksssksksss199.png,1
452,320,113,333,127,maksssksksss199.png,1
453,68,42,105,69,maksssksksss2.png,1
454,154,47,178,74,maksssksksss2.png,1
455,238,34,262,69,maksssksksss2.png,1
456,333,31,366,65,maksssksksss2.png,0
457,93,60,153,124,maksssksksss20.png,1
458,5,185,110,287,maksssksksss200.png,1
459,115,130,180,192,maksssksksss200.png,1
460,215,94,301,195,maksssksksss200.png,1
461,33,82,76,127,maksssksksss201.png,1
462,59,64,88,98,maksssksksss201.png,1
463,36,40,55,61,maksssksksss201.png,1
464,101,70,162,132,maksssksksss201.png,1
465,69,29,89,49,maksssksksss201.png,1
466,223,91,265,127,maksssksksss201.png,1
467,240,28,268,52,maksssksksss201.png,1
468,286,56,318,90,maksssksksss201.png,1
469,370,36,398,65,maksssksksss201.png,1
470,1,45,16,70,maksssksksss201.png,1
471,15,158,35,187,maksssksksss202.png,1
472,46,126,70,153,maksssksksss202.png,1
473,92,99,120,132,maksssksksss202.png,1
474,180,127,213,165,maksssksksss202.png,1
475,300,135,332,169,maksssksksss202.png,1
476,348,154,371,181,maksssksksss202.png,1
477,11,28,37,57,maksssksksss203.png,1
478,100,42,124,67,maksssksksss203.png,1
479,236,48,255,70,maksssksksss203.png,1
480,304,42,329,64,maksssksksss203.png,1
481,73,133,118,188,maksssksksss204.png,1
482,137,103,175,143,maksssksksss204.png,1
483,175,96,203,121,maksssksksss204.png,1
484,220,91,252,123,maksssksksss204.png,1
485,254,101,294,144,maksssksksss204.png,1
486,278,51,313,88,maksssksksss204.png,1
487,27,113,45,139,maksssksksss204.png,1
488,86,244,156,346,maksssksksss205.png,1
489,82,75,122,119,maksssksksss206.png,1
490,171,67,206,108,maksssksksss206.png,1
491,270,35,318,83,maksssksksss206.png,1
492,221,86,230,98,maksssksksss206.png,1
493,262,81,271,91,maksssksksss206.png,1
494,68,98,83,115,maksssksksss206.png,0
495,326,83,336,96,maksssksksss206.png,2
496,359,83,369,94,maksssksksss206.png,2
497,34,87,51,103,maksssksksss207.png,1
498,167,91,211,140,maksssksksss207.png,1
499,281,95,316,125,maksssksksss207.png,1
500,347,87,400,171,maksssksksss207.png,1
501,84,82,194,170,maksssksksss208.png,1
502,192,71,298,187,maksssksksss208.png,1
503,37,50,63,78,maksssksksss209.png,2
504,63,79,88,101,maksssksksss209.png,2
505,64,112,91,141,maksssksksss209.png,2
506,88,44,112,72,maksssksksss209.png,2
507,120,99,150,133,maksssksksss209.png,2
508,161,102,197,143,maksssksksss209.png,1
509,206,51,228,79,maksssksksss209.png,2
510,227,124,260,157,maksssksksss209.png,2
511,236,91,262,119,maksssksksss209.png,2
512,338,116,370,155,maksssksksss209.png,1
513,374,63,396,88,maksssksksss209.png,2
514,267,22,289,44,maksssksksss209.png,2
515,344,35,361,52,maksssksksss209.png,2
516,183,49,205,69,maksssksksss209.png,2
517,40,137,109,218,maksssksksss21.png,1
518,54,57,111,112,maksssksksss21.png,1
519,189,78,246,140,maksssksksss21.png,1
520,311,48,358,98,maksssksksss21.png,1
521,182,32,221,60,maksssksksss21.png,2
522,92,203,205,356,maksssksksss210.png,1
523,144,99,276,219,maksssksksss211.png,1
524,115,75,169,135,maksssksksss212.png,1
525,63,183,174,313,maksssksksss213.png,1
526,14,61,61,110,maksssksksss214.png,1
527,151,96,176,121,maksssksksss214.png,1
528,166,110,199,149,maksssksksss214.png,1
529,241,109,266,135,maksssksksss214.png,1
530,286,58,331,112,maksssksksss214.png,1
531,277,75,288,87,maksssksksss214.png,1
532,244,82,254,91,maksssksksss214.png,1
533,75,75,158,161,maksssksksss215.png,1
534,245,95,315,171,maksssksksss215.png,1
535,8,64,43,93,maksssksksss216.png,1
536,225,44,261,93,maksssksksss216.png,1
537,208,52,225,77,maksssksksss216.png,1
538,328,48,348,66,maksssksksss216.png,1
539,138,55,169,82,maksssksksss216.png,2
540,115,202,218,341,maksssksksss217.png,2
541,139,223,251,371,maksssksksss218.png,2
542,120,122,184,194,maksssksksss219.png,1
543,266,92,323,151,maksssksksss219.png,1
544,183,101,270,185,maksssksksss22.png,1
545,113,58,162,104,maksssksksss220.png,1
546,21,211,53,242,maksssksksss221.png,1
547,129,187,161,219,maksssksksss221.png,1
548,208,189,234,223,maksssksksss221.png,1
549,350,217,395,251,maksssksksss221.png,1
550,377,151,389,162,maksssksksss221.png,1
551,255,156,260,165,maksssksksss221.png,1
552,229,153,234,159,maksssksksss221.png,1
553,155,156,161,163,maksssksksss221.png,1
554,112,158,119,166,maksssksksss221.png,2
555,299,182,304,190,maksssksksss221.png,1
556,24,50,44,71,maksssksksss222.png,1
557,59,63,77,83,maksssksksss222.png,1
558,129,56,152,79,maksssksksss222.png,1
559,154,54,171,74,maksssksksss222.png,1
560,170,104,192,128,maksssksksss222.png,1
561,186,55,198,69,maksssksksss222.png,1
562,206,50,217,69,maksssksksss222.png,1
563,216,52,233,73,maksssksksss222.png,1
564,238,61,253,79,maksssksksss222.png,1
565,252,68,269,89,maksssksksss222.png,1
566,275,71,297,96,maksssksksss222.png,1
567,300,49,314,66,maksssksksss222.png,1
568,315,52,332,65,maksssksksss222.png,2
569,344,43,362,62,maksssksksss222.png,1
570,366,47,386,68,maksssksksss222.png,1
571,140,45,155,60,maksssksksss222.png,1
572,113,45,128,59,maksssksksss222.png,1
573,143,92,166,119,maksssksksss223.png,1
574,138,51,169,67,maksssksksss223.png,1
575,247,135,271,170,maksssksksss223.png,1
576,224,105,240,135,maksssksksss223.png,1
577,274,54,284,65,maksssksksss223.png,1
578,100,49,113,61,maksssksksss223.png,0
579,30,50,38,58,maksssksksss223.png,2
580,199,43,209,56,maksssksksss223.png,2
581,298,39,306,52,maksssksksss223.png,2
582,224,83,239,97,maksssksksss223.png,2
583,352,73,363,82,maksssksksss223.png,1
584,367,76,382,92,maksssksksss223.png,2
585,371,100,382,123,maksssksksss223.png,2
586,381,76,393,88,maksssksksss223.png,2
587,214,112,298,200,maksssksksss224.png,1
588,116,207,222,354,maksssksksss225.png,1
589,145,56,209,121,maksssksksss226.png,1
590,273,87,300,116,maksssksksss227.png,1
591,344,60,366,88,maksssksksss227.png,1
592,246,50,271,82,maksssksksss227.png,1
593,146,104,169,126,maksssksksss227.png,1
594,163,80,184,103,maksssksksss227.png,1
595,1,69,33,130,maksssksksss227.png,1
596,124,86,142,104,maksssksksss227.png,1
597,98,78,119,96,maksssksksss227.png,1
598,31,78,46,93,maksssksksss227.png,1
599,72,78,88,91,maksssksksss227.png,1
600,58,72,66,82,maksssksksss227.png,1
601,200,70,211,82,maksssksksss227.png,1
602,46,191,147,324,maksssksksss228.png,1
603,29,90,60,133,maksssksksss229.png,1
604,92,57,128,88,maksssksksss229.png,1
605,26,42,45,61,maksssksksss229.png,1
606,123,12,140,31,maksssksksss229.png,1
607,175,64,196,86,maksssksksss229.png,1
608,203,50,218,70,maksssksksss229.png,1
609,243,52,257,74,maksssksksss229.png,1
610,218,91,242,117,maksssksksss229.png,1
611,231,138,255,167,maksssksksss229.png,1
612,293,87,320,110,maksssksksss229.png,1
613,235,5,246,21,maksssksksss229.png,1
614,323,25,338,35,maksssksksss229.png,1
615,370,32,398,63,maksssksksss229.png,1
616,184,18,192,32,maksssksksss229.png,1
617,188,74,241,131,maksssksksss23.png,1
618,16,191,92,265,maksssksksss230.png,1
619,124,92,183,147,maksssksksss230.png,1
620,196,39,249,93,maksssksksss230.png,1
621,307,180,388,260,maksssksksss230.png,1
622,424,153,512,242,maksssksksss230.png,1
623,9,55,29,79,maksssksksss231.png,1
624,32,50,56,74,maksssksksss231.png,1
625,102,26,120,49,maksssksksss231.png,1
626,87,73,105,99,maksssksksss231.png,1
627,117,63,137,88,maksssksksss231.png,1
628,148,65,171,91,maksssksksss231.png,1
629,168,47,191,70,maksssksksss231.png,1
630,194,59,217,84,maksssksksss231.png,1
631,217,50,241,76,maksssksksss231.png,1
632,268,59,288,81,maksssksksss231.png,1
633,291,59,308,85,maksssksksss231.png,1
