xmin,ymin,xmax,ymax,image,labels
362,32,372,40,maksssksksss11.png,1
6,111,43,148,maksssksksss110.png,2
22,20,49,46,maksssksksss110.png,2
48,12,70,37,maksssksksss110.png,1
113,1,136,24,maksssksksss110.png,1
78,17,106,46,maksssksksss110.png,2
97,66,115,86,maksssksksss110.png,2
70,111,104,145,maksssksksss110.png,2
42,157,85,186,maksssksksss110.png,2
59,205,111,264,maksssksksss110.png,1
116,155,172,198,maksssksksss110.png,2
112,85,149,118,maksssksksss110.png,2
124,27,153,47,maksssksksss110.png,2
163,29,189,53,maksssksksss110.png,2
186,18,215,44,maksssksksss110.png,1
178,77,214,111,maksssksksss110.png,1
216,57,241,84,maksssksksss110.png,2
237,15,268,46,maksssksksss110.png,2
281,19,308,40,maksssksksss110.png,2
286,60,311,84,maksssksksss110.png,2
253,94,293,135,maksssksksss110.png,1
236,161,273,195,maksssksksss110.png,2
282,194,322,232,maksssksksss110.png,1
314,115,350,152,maksssksksss110.png,1
335,27,359,52,maksssksksss110.png,2
381,14,401,34,maksssksksss110.png,2
356,72,385,98,maksssksksss110.png,1
17,182,35,202,maksssksksss111.png,1
17,101,25,116,maksssksksss111.png,1
48,98,61,113,maksssksksss111.png,1
17,127,27,144,maksssksksss111.png,2
5,133,14,152,maksssksksss111.png,2
109,59,132,82,maksssksksss111.png,1
140,64,161,85,maksssksksss111.png,1
184,68,207,93,maksssksksss111.png,1
248,73,267,95,maksssksksss111.png,1
291,65,314,90,maksssksksss111.png,1
383,96,397,110,maksssksksss111.png,1
383,125,398,145,maksssksksss111.png,2
90,84,138,131,maksssksksss112.png,0
133,108,148,124,maksssksksss113.png,1
203,117,214,131,maksssksksss113.png,1
294,115,308,130,maksssksksss113.png,1
228,119,241,134,maksssksksss113.png,2
4,83,75,161,maksssksksss114.png,2
80,58,153,141,maksssksksss114.png,1
24,67,47,91,maksssksksss115.png,1
79,91,103,112,maksssksksss115.png,1
109,80,128,101,maksssksksss115.png,1
137,88,159,110,maksssksksss115.png,1
179,107,205,134,maksssksksss115.png,1
254,105,278,128,maksssksksss115.png,1
221,78,244,100,maksssksksss115.png,1
172,86,183,107,maksssksksss115.png,1
185,85,209,104,maksssksksss115.png,1
116,88,150,122,maksssksksss116.png,1
160,79,193,118,maksssksksss116.png,1
235,43,272,87,maksssksksss116.png,1
304,68,336,102,maksssksksss116.png,1
379,61,399,96,maksssksksss116.png,1
131,224,227,346,maksssksksss117.png,1
138,79,176,116,maksssksksss118.png,1
217,70,255,107,maksssksksss118.png,1
54,92,82,120,maksssksksss119.png,1
132,47,153,71,maksssksksss119.png,1
242,94,268,125,maksssksksss119.png,1
254,51,266,64,maksssksksss119.png,1
263,79,275,92,maksssksksss119.png,1
302,81,330,107,maksssksksss119.png,2
352,45,377,67,maksssksksss119.png,2
72,71,90,88,maksssksksss12.png,1
119,70,137,88,maksssksksss12.png,1
163,76,185,96,maksssksksss12.png,1
36,70,46,82,maksssksksss12.png,1
120,55,132,68,maksssksksss12.png,1
94,59,102,69,maksssksksss12.png,1
153,61,171,81,maksssksksss12.png,1
335,70,353,87,maksssksksss12.png,1
273,58,290,75,maksssksksss12.png,1
232,61,249,78,maksssksksss12.png,1
298,61,312,84,maksssksksss12.png,2
354,54,365,68,maksssksksss12.png,1
38,82,45,98,maksssksksss12.png,1
59,185,183,336,maksssksksss120.png,1
11,48,41,75,maksssksksss121.png,2
91,41,121,72,maksssksksss121.png,2
176,56,204,83,maksssksksss121.png,2
239,56,266,81,maksssksksss121.png,2
301,62,329,87,maksssksksss121.png,2
343,74,368,97,maksssksksss121.png,2
387,82,400,107,maksssksksss121.png,2
201,38,345,213,maksssksksss122.png,1
92,106,191,224,maksssksksss123.png,1
227,129,321,229,maksssksksss123.png,1
91,146,143,204,maksssksksss124.png,1
239,126,290,182,maksssksksss124.png,1
378,146,399,171,maksssksksss124.png,1
1,170,20,196,maksssksksss124.png,2
333,133,360,170,maksssksksss124.png,2
118,151,216,279,maksssksksss125.png,2
106,45,158,104,maksssksksss126.png,1
194,62,215,88,maksssksksss126.png,1
226,2,267,97,maksssksksss126.png,2
98,46,130,80,maksssksksss127.png,1
93,183,194,295,maksssksksss128.png,2
106,69,124,89,maksssksksss129.png,2
149,30,168,53,maksssksksss129.png,2
246,40,271,69,maksssksksss129.png,1
28,54,44,71,maksssksksss13.png,1
98,62,114,80,maksssksksss13.png,1
162,51,194,89,maksssksksss13.png,0
293,60,313,81,maksssksksss13.png,1
352,53,373,71,maksssksksss13.png,1
229,53,241,72,maksssksksss13.png,1
7,104,46,147,maksssksksss130.png,0
162,58,208,112,maksssksksss130.png,0
304,95,332,141,maksssksksss130.png,2
198,95,223,136,maksssksksss130.png,2
65,63,110,112,maksssksksss131.png,1
127,31,166,76,maksssksksss131.png,1
257,55,284,86,maksssksksss131.png,2
284,66,321,107,maksssksksss131.png,1
252,125,295,167,maksssksksss131.png,2
345,93,363,116,maksssksksss131.png,1
236,74,256,99,maksssksksss131.png,2
216,63,237,83,maksssksksss131.png,2
106,72,190,182,maksssksksss132.png,0
100,179,221,318,maksssksksss133.png,1
92,19,117,50,maksssksksss134.png,1
156,22,177,48,maksssksksss134.png,2
179,24,197,47,maksssksksss134.png,1
183,74,205,100,maksssksksss134.png,1
269,70,285,89,maksssksksss134.png,1
343,15,359,34,maksssksksss134.png,2
302,43,318,59,maksssksksss134.png,1
49,157,144,225,maksssksksss135.png,1
151,67,270,198,maksssksksss135.png,1
100,105,152,158,maksssksksss136.png,1
38,143,53,161,maksssksksss137.png,2
76,146,95,164,maksssksksss137.png,2
114,142,131,163,maksssksksss137.png,1
158,165,175,185,maksssksksss137.png,1
217,153,241,174,maksssksksss137.png,2
283,158,310,181,maksssksksss137.png,2
51,144,128,239,maksssksksss138.png,1
147,169,217,233,maksssksksss138.png,1
224,92,309,186,maksssksksss138.png,1
2,28,19,46,maksssksksss139.png,1
23,36,45,59,maksssksksss139.png,1
30,71,51,92,maksssksksss139.png,2
4,177,35,209,maksssksksss139.png,1
93,15,117,34,maksssksksss139.png,1
99,74,122,100,maksssksksss139.png,1
56,132,79,162,maksssksksss139.png,0
36,152,65,183,maksssksksss139.png,1
138,191,165,221,maksssksksss139.png,1
182,13,209,36,maksssksksss139.png,1
188,55,213,80,maksssksksss139.png,1
196,146,219,168,maksssksksss139.png,1
213,164,243,193,maksssksksss139.png,1
253,13,277,35,maksssksksss139.png,1
246,73,268,98,maksssksksss139.png,1
286,10,314,38,maksssksksss139.png,1
320,1,341,15,maksssksksss139.png,1
345,34,372,57,maksssksksss139.png,1
358,116,388,141,maksssksksss139.png,1
152,192,239,319,maksssksksss14.png,2
37,74,188,247,maksssksksss140.png,1
210,114,336,255,maksssksksss140.png,1
129,96,175,155,maksssksksss141.png,1
220,123,260,169,maksssksksss141.png,1
144,110,244,235,maksssksksss142.png,1
102,200,194,333,maksssksksss143.png,1
130,19,155,47,maksssksksss144.png,1
212,56,232,79,maksssksksss144.png,1
298,60,316,80,maksssksksss144.png,1
91,89,114,111,maksssksksss145.png,0
183,102,203,122,maksssksksss145.png,0
310,96,333,119,maksssksksss145.png,2
119,122,184,192,maksssksksss146.png,1
265,90,324,153,maksssksksss146.png,1
103,9,120,33,maksssksksss147.png,2
198,15,218,36,maksssksksss147.png,1
224,89,243,109,maksssksksss147.png,1
272,33,294,55,maksssksksss147.png,1
1,20,81,136,maksssksksss148.png,1
68,95,124,157,maksssksksss148.png,2
116,104,140,144,maksssksksss148.png,2
151,89,247,205,maksssksksss148.png,1
325,77,397,156,maksssksksss148.png,2
243,120,283,179,maksssksksss148.png,1
38,98,71,130,maksssksksss149.png,1
180,103,215,136,maksssksksss149.png,1
287,53,315,85,maksssksksss149.png,1
315,57,341,89,maksssksksss149.png,1
330,104,359,133,maksssksksss149.png,1
324,180,348,210,maksssksksss149.png,1
59,144,125,213,maksssksksss15.png,1
82,330,118,366,maksssksksss15.png,1
60,136,164,260,maksssksksss150.png,1
59,131,64,138,maksssksksss151.png,2
82,127,89,134,maksssksksss151.png,1
101,142,105,146,maksssksksss151.png,1
111,132,116,138,maksssksksss151.png,1
126,131,132,138,maksssksksss151.png,1
134,134,139,140,maksssksksss151.png,1
143,134,149,139,maksssksksss151.png,1
170,142,180,152,maksssksksss151.png,0
225,105,235,117,maksssksksss151.png,1
278,100,288,113,maksssksksss151.png,1
66,25,82,48,maksssksksss152.png,1
101,41,124,68,maksssksksss152.png,1
173,34,193,60,maksssksksss152.png,1
204,75,225,99,maksssksksss152.png,1
289,25,312,54,maksssksksss152.png,1
350,17,368,39,maksssksksss152.png,1
152,50,167,65,maksssksksss152.png,1
89,21,112,44,maksssksksss153.png,1
289,21,311,44,maksssksksss153.png,2
90,200,184,333,maksssksksss154.png,2
43,108,107,174,maksssksksss155.png,1
77,53,163,140,maksssksksss155.png,1
278,92,314,137,maksssksksss155.png,1
381,97,392,111,maksssksksss155.png,1
327,33,352,59,maksssksksss156.png,1
27,47,47,65,maksssksksss156.png,1
249,43,268,63,maksssksksss156.png,1
278,73,291,87,maksssksksss156.png,1
366,70,385,91,maksssksksss156.png,0
181,40,203,67,maksssksksss156.png,0
36,63,59,88,maksssksksss156.png,0
1,45,19,64,maksssksksss156.png,2
68,68,90,91,maksssksksss156.png,2
87,55,102,71,maksssksksss156.png,2
137,58,155,74,maksssksksss156.png,2
233,50,250,67,maksssksksss156.png,2
281,33,300,51,maksssksksss156.png,2
22,78,43,98,maksssksksss157.png,1
84,61,111,95,maksssksksss157.png,2
144,78,173,119,maksssksksss157.png,1
193,71,217,97,maksssksksss157.png,1
225,43,259,80,maksssksksss157.png,1
297,62,316,86,maksssksksss157.png,1
320,40,352,74,maksssksksss157.png,1
368,75,395,104,maksssksksss157.png,1
2,56,24,78,maksssksksss158.png,1
29,70,42,85,maksssksksss158.png,1
90,55,104,72,maksssksksss158.png,1
113,52,133,76,maksssksksss158.png,1
133,60,144,74,maksssksksss158.png,1
151,70,166,85,maksssksksss158.png,1
180,70,195,84,maksssksksss158.png,1
217,78,238,98,maksssksksss158.png,1
238,52,256,70,maksssksksss158.png,1
280,59,293,74,maksssksksss158.png,1
293,56,310,75,maksssksksss158.png,1
323,82,342,101,maksssksksss158.png,1
354,64,371,86,maksssksksss158.png,1
166,68,174,78,maksssksksss158.png,1
5,114,58,178,maksssksksss159.png,1
125,82,136,95,maksssksksss159.png,1
157,82,170,99,maksssksksss159.png,1
213,65,225,79,maksssksksss159.png,1
51,89,57,96,maksssksksss159.png,1
175,80,180,86,maksssksksss159.png,1
193,79,200,87,maksssksksss159.png,1
253,75,261,80,maksssksksss159.png,1
276,75,288,87,maksssksksss159.png,1
326,32,395,105,maksssksksss159.png,1
290,66,296,74,maksssksksss159.png,2
85,86,89,95,maksssksksss159.png,1
48,227,146,345,maksssksksss16.png,1
71,82,151,153,maksssksksss160.png,1
246,107,326,195,maksssksksss160.png,1
123,227,190,328,maksssksksss161.png,2
86,181,191,308,maksssksksss162.png,1
209,108,226,126,maksssksksss163.png,1
161,124,184,152,maksssksksss163.png,1
12,47,40,73,maksssksksss164.png,1
44,51,66,75,maksssksksss164.png,1
80,42,99,63,maksssksksss164.png,1
153,39,179,65,maksssksksss164.png,2
203,35,225,59,maksssksksss164.png,2
256,45,271,63,maksssksksss164.png,1
292,58,311,77,maksssksksss164.png,1
327,64,346,83,maksssksksss164.png,1
361,37,386,64,maksssksksss164.png,1
15,111,114,219,maksssksksss165.png,1
324,135,410,238,maksssksksss165.png,1
98,1,150,58,maksssksksss166.png,1
205,115,235,155,maksssksksss166.png,1
255,141,278,171,maksssksksss166.png,1
303,180,325,207,maksssksksss166.png,1
329,195,347,218,maksssksksss166.png,1
351,204,372,226,maksssksksss166.png,1
45,69,96,113,maksssksksss167.png,1
185,113,222,155,maksssksksss167.png,1
271,32,311,75,maksssksksss167.png,1
20,90,30,105,maksssksksss167.png,1
40,74,62,90,maksssksksss168.png,2
35,116,51,133,maksssksksss168.png,1
85,79,97,90,maksssksksss168.png,1
169,66,287,188,maksssksksss168.png,1
363,51,384,81,maksssksksss168.png,2
152,262,220,367,maksssksksss169.png,1
73,179,169,297,maksssksksss17.png,1
102,54,239,210,maksssksksss170.png,1
207,122,361,291,maksssksksss171.png,1
96,233,186,341,maksssksksss172.png,2
48,94,72,116,maksssksksss173.png,1
331,77,356,106,maksssksksss173.png,0
44,63,95,117,maksssksksss174.png,1
102,60,142,104,maksssksksss174.png,1
196,44,250,100,maksssksksss174.png,1
351,54,392,102,maksssksksss174.png,1
113,61,174,122,maksssksksss175.png,1
195,50,228,112,maksssksksss175.png,1
132,55,157,97,maksssksksss176.png,1
15,68,47,104,maksssksksss176.png,1
55,47,81,80,maksssksksss176.png,1
144,95,169,128,maksssksksss176.png,1
166,66,189,95,maksssksksss176.png,1
222,47,260,82,maksssksksss176.png,1
89,60,104,86,maksssksksss176.png,1
237,86,277,135,maksssksksss176.png,0
291,79,319,115,maksssksksss176.png,2
371,63,392,90,maksssksksss176.png,2
387,59,400,92,maksssksksss176.png,2
276,76,324,118,maksssksksss177.png,1
154,147,199,194,maksssksksss177.png,1
91,41,126,76,maksssksksss178.png,1
193,86,214,112,maksssksksss178.png,2
245,90,265,112,maksssksksss178.png,2
170,26,199,57,maksssksksss179.png,1
45,57,62,76,maksssksksss179.png,1
47,81,64,99,maksssksksss179.png,2
89,53,116,76,maksssksksss179.png,2
134,86,192,148,maksssksksss18.png,1
299,159,354,217,maksssksksss18.png,1
58,182,165,316,maksssksksss180.png,1
70,58,93,82,maksssksksss181.png,1
100,57,124,82,maksssksksss181.png,1
271,43,305,80,maksssksksss181.png,2
117,48,167,98,maksssksksss182.png,2
206,49,271,109,maksssksksss182.png,1
158,63,189,99,maksssksksss183.png,1
198,56,241,104,maksssksksss183.png,1
372,108,390,128,maksssksksss183.png,2
35,109,50,130,maksssksksss183.png,2
143,44,169,73,maksssksksss184.png,1
171,37,195,65,maksssksksss184.png,1
250,25,274,46,maksssksksss184.png,1
256,49,283,76,maksssksksss184.png,1
262,116,294,145,maksssksksss184.png,1
294,43,316,63,maksssksksss184.png,1
334,38,350,57,maksssksksss184.png,1
320,40,335,57,maksssksksss184.png,1
374,47,386,61,maksssksksss184.png,1
83,11,109,49,maksssksksss184.png,1
89,139,121,187,maksssksksss185.png,1
115,112,139,154,maksssksksss185.png,1
165,102,195,126,maksssksksss185.png,1
270,69,288,86,maksssksksss185.png,1
87,56,135,119,maksssksksss186.png,1
230,97,320,182,maksssksksss187.png,1
99,205,198,318,maksssksksss188.png,1
124,48,143,96,maksssksksss189.png,2
201,89,235,121,maksssksksss189.png,2
226,15,271,66,maksssksksss189.png,1
1,45,18,68,maksssksksss19.png,2
89,38,115,62,maksssksksss19.png,1
161,20,195,54,maksssksksss19.png,2
104,104,182,175,maksssksksss19.png,1
309,77,375,136,maksssksksss19.png,1
267,14,287,32,maksssksksss19.png,2
143,75,222,155,maksssksksss190.png,1
221,82,297,163,maksssksksss191.png,1
112,40,157,87,maksssksksss192.png,1
13,175,97,254,maksssksksss193.png,1
133,56,258,172,maksssksksss193.png,1
184,69,199,87,maksssksksss194.png,1
205,67,216,78,maksssksksss194.png,2
121,145,305,356,maksssksksss195.png,1
83,250,154,362,maksssksksss196.png,1
169,84,213,128,maksssksksss197.png,1
118,19,295,184,maksssksksss198.png,1
44,143,53,156,maksssksksss199.png,1
134,118,143,128,maksssksksss199.png,0
210,101,220,116,maksssksksss199.png,1
271,127,281,140,maksssksksss199.png,1
320,113,333,127,maksssksksss199.png,1
68,42,105,69,maksssksksss2.png,1
154,47,178,74,maksssksksss2.png,1
238,34,262,69,maksssksksss2.png,1
333,31,366,65,maksssksksss2.png,0
93,60,153,124,maksssksksss20.png,1
5,185,110,287,maksssksksss200.png,1
115,130,180,192,maksssksksss200.png,1
215,94,301,195,maksssksksss200.png,1
33,82,76,127,maksssksksss201.png,1
59,64,88,98,maksssksksss201.png,1
36,40,55,61,maksssksksss201.png,1
101,70,162,132,maksssksksss201.png,1
69,29,89,49,maksssksksss201.png,1
223,91,265,127,maksssksksss201.png,1
240,28,268,52,maksssksksss201.png,1
286,56,318,90,maksssksksss201.png,1
370,36,398,65,maksssksksss201.png,1
1,45,16,70,maksssksksss201.png,1
15,158,35,187,maksssksksss202.png,1
46,126,70,153,maksssksksss202.png,1
92,99,120,132,maksssksksss202.png,1
180,127,213,165,maksssksksss202.png,1
300,135,332,169,maksssksksss202.png,1
348,154,371,181,maksssksksss202.png,1
11,28,37,57,maksssksksss203.png,1
100,42,124,67,maksssksksss203.png,1
236,48,255,70,maksssksksss203.png,1
304,42,329,64,maksssksksss203.png,1
73,133,118,188,maksssksksss204.png,1
137,103,175,143,maksssksksss204.png,1
175,96,203,121,maksssksksss204.png,1
220,91,252,123,maksssksksss204.png,1
254,101,294,144,maksssksksss204.png,1
278,51,313,88,maksssksksss204.png,1
27,113,45,139,maksssksksss204.png,1
86,244,156,346,maksssksksss205.png,1
82,75,122,119,maksssksksss206.png,1
171,67,206,108,maksssksksss206.png,1
270,35,318,83,maksssksksss206.png,1
221,86,230,98,maksssksksss206.png,1
262,81,271,91,maksssksksss206.png,1
68,98,83,115,maksssksksss206.png,0
326,83,336,96,maksssksksss206.png,2
359,83,369,94,maksssksksss206.png,2
34,87,51,103,maksssksksss207.png,1
167,91,211,140,maksssksksss207.png,1
281,95,316,125,maksssksksss207.png,1
347,87,400,171,maksssksksss207.png,1
84,82,194,170,maksssksksss208.png,1
192,71,298,187,maksssksksss208.png,1
37,50,63,78,maksssksksss209.png,2
63,79,88,101,maksssksksss209.png,2
64,112,91,141,maksssksksss209.png,2
88,44,112,72,maksssksksss209.png,2
120,99,150,133,maksssksksss209.png,2
161,102,197,143,maksssksksss209.png,1
206,51,228,79,maksssksksss209.png,2
227,124,260,157,maksssksksss209.png,2
236,91,262,119,maksssksksss209.png,2
338,116,370,155,maksssksksss209.png,1
374,63,396,88,maksssksksss209.png,2
267,22,289,44,maksssksksss209.png,2
344,35,361,52,maksssksksss209.png,2
183,49,205,69,maksssksksss209.png,2
40,137,109,218,maksssksksss21.png,1
54,57,111,112,maksssksksss21.png,1
189,78,246,140,maksssksksss21.png,1
311,48,358,98,maksssksksss21.png,1
182,32,221,60,maksssksksss21.png,2
92,203,205,356,maksssksksss210.png,1
144,99,276,219,maksssksksss211.png,1
115,75,169,135,maksssksksss212.png,1
63,183,174,313,maksssksksss213.png,1
14,61,61,110,maksssksksss214.png,1
151,96,176,121,maksssksksss214.png,1
166,110,199,149,maksssksksss214.png,1
241,109,266,135,maksssksksss214.png,1
286,58,331,112,maksssksksss214.png,1
277,75,288,87,maksssksksss214.png,1
244,82,254,91,maksssksksss214.png,1
75,75,158,161,maksssksksss215.png,1
245,95,315,171,maksssksksss215.png,1
8,64,43,93,maksssksksss216.png,1
225,44,261,93,maksssksksss216.png,1
208,52,225,77,maksssksksss216.png,1
328,48,348,66,maksssksksss216.png,1
138,55,169,82,maksssksksss216.png,2
115,202,218,341,maksssksksss217.png,2
139,223,251,371,maksssksksss218.png,2
120,122,184,194,maksssksksss219.png,1
266,92,323,151,maksssksksss219.png,1
183,101,270,185,maksssksksss22.png,1
113,58,162,104,maksssksksss220.png,1
21,211,53,242,maksssksksss221.png,1
129,187,161,219,maksssksksss221.png,1
208,189,234,223,maksssksksss221.png,1
350,217,395,251,maksssksksss221.png,1
377,151,389,162,maksssksksss221.png,1
255,156,260,165,maksssksksss221.png,1
229,153,234,159,maksssksksss221.png,1
155,156,161,163,maksssksksss221.png,1
112,158,119,166,maksssksksss221.png,2
299,182,304,190,maksssksksss221.png,1
24,50,44,71,maksssksksss222.png,1
59,63,77,83,maksssksksss222.png,1
129,56,152,79,maksssksksss222.png,1
154,54,171,74,maksssksksss222.png,1
170,104,192,128,maksssksksss222.png,1
186,55,198,69,maksssksksss222.png,1
206,50,217,69,maksssksksss222.png,1
216,52,233,73,maksssksksss222.png,1
238,61,253,79,maksssksksss222.png,1
252,68,269,89,maksssksksss222.png,1
275,71,297,96,maksssksksss222.png,1
300,49,314,66,maksssksksss222.png,1
315,52,332,65,maksssksksss222.png,2
344,43,362,62,maksssksksss222.png,1
366,47,386,68,maksssksksss222.png,1
140,45,155,60,maksssksksss222.png,1
113,45,128,59,maksssksksss222.png,1
143,92,166,119,maksssksksss223.png,1
138,51,169,67,maksssksksss223.png,1
247,135,271,170,maksssksksss223.png,1
224,105,240,135,maksssksksss223.png,1
274,54,284,65,maksssksksss223.png,1
100,49,113,61,maksssksksss223.png,0
30,50,38,58,maksssksksss223.png,2
199,43,209,56,maksssksksss223.png,2
298,39,306,52,maksssksksss223.png,2
224,83,239,97,maksssksksss223.png,2
352,73,363,82,maksssksksss223.png,1
367,76,382,92,maksssksksss223.png,2
371,100,382,123,maksssksksss223.png,2
381,76,393,88,maksssksksss223.png,2
214,112,298,200,maksssksksss224.png,1
116,207,222,354,maksssksksss225.png,1
145,56,209,121,maksssksksss226.png,1
273,87,300,116,maksssksksss227.png,1
344,60,366,88,maksssksksss227.png,1
246,50,271,82,maksssksksss227.png,1
146,104,169,126,maksssksksss227.png,1
163,80,184,103,maksssksksss227.png,1
1,69,33,130,maksssksksss227.png,1
124,86,142,104,maksssksksss227.png,1
98,78,119,96,maksssksksss227.png,1
31,78,46,93,maksssksksss227.png,1
72,78,88,91,maksssksksss227.png,1
58,72,66,82,maksssksksss227.png,1
200,70,211,82,maksssksksss227.png,1
46,191,147,324,maksssksksss228.png,1
29,90,60,133,maksssksksss229.png,1
92,57,128,88,maksssksksss229.png,1
26,42,45,61,maksssksksss229.png,1
123,12,140,31,maksssksksss229.png,1
175,64,196,86,maksssksksss229.png,1
203,50,218,70,maksssksksss229.png,1
243,52,257,74,maksssksksss229.png,1
218,91,242,117,maksssksksss229.png,1
231,138,255,167,maksssksksss229.png,1
293,87,320,110,maksssksksss229.png,1
235,5,246,21,maksssksksss229.png,1
323,25,338,35,maksssksksss229.png,1
370,32,398,63,maksssksksss229.png,1
184,18,192,32,maksssksksss229.png,1
188,74,241,131,maksssksksss23.png,1
16,191,92,265,maksssksksss230.png,1
124,92,183,147,maksssksksss230.png,1
196,39,249,93,maksssksksss230.png,1
307,180,388,260,maksssksksss230.png,1
424,153,512,242,maksssksksss230.png,1
9,55,29,79,maksssksksss231.png,1
32,50,56,74,maksssksksss231.png,1
102,26,120,49,maksssksksss231.png,1
87,73,105,99,maksssksksss231.png,1
117,63,137,88,maksssksksss231.png,1
148,65,171,91,maksssksksss231.png,1
168,47,191,70,maksssksksss231.png,1
194,59,217,84,maksssksksss231.png,1
217,50,241,76,maksssksksss231.png,1
268,59,288,81,maksssksksss231.png,1
291,59,308,85,maksssksksss231.png,1
323,49,349,77,maksssksksss231.png,1
366,47,390,73,maksssksksss231.png,1
127,39,148,61,maksssksksss231.png,1
392,86,401,106,maksssksksss231.png,1
45,86,72,109,maksssksksss232.png,1
115,74,130,92,maksssksksss232.png,1
161,79,177,93,maksssksksss232.png,1
222,78,233,92,maksssksksss232.png,1
238,83,247,95,maksssksksss232.png,1
109,117,180,198,maksssksksss233.png,1
175,40,220,86,maksssksksss234.png,1
112,101,123,112,maksssksksss234.png,1
3,72,12,89,maksssksksss234.png,1
388,122,400,133,maksssksksss234.png,1
341,125,352,136,maksssksksss234.png,1
310,80,342,116,maksssksksss235.png,1
221,104,231,119,maksssksksss235.png,1
247,106,264,118,maksssksksss235.png,1
265,103,274,114,maksssksksss235.png,1
163,164,269,299,maksssksksss236.png,2
50,56,64,71,maksssksksss237.png,1
191,37,232,83,maksssksksss237.png,1
27,64,44,84,maksssksksss238.png,1
56,72,72,93,maksssksksss238.png,1
103,58,120,78,maksssksksss238.png,1
152,89,169,108,maksssksksss238.png,1
159,60,175,74,maksssksksss238.png,1
213,47,229,67,maksssksksss238.png,1
258,63,268,84,maksssksksss238.png,1
278,69,293,91,maksssksksss238.png,1
328,69,344,86,maksssksksss238.png,1
354,75,369,93,maksssksksss238.png,1
91,208,189,317,maksssksksss239.png,2
105,76,161,116,maksssksksss24.png,0
44,215,62,231,maksssksksss240.png,2
4,158,20,174,maksssksksss240.png,2
53,160,68,176,maksssksksss240.png,2
11,134,25,148,maksssksksss240.png,2
58,123,75,139,maksssksksss240.png,2
16,100,31,115,maksssksksss240.png,2
59,103,73,113,maksssksksss240.png,2
75,89,88,101,maksssksksss240.png,2
20,65,33,78,maksssksksss240.png,2
34,55,45,64,maksssksksss240.png,2
78,57,92,71,maksssksksss240.png,2
42,23,54,35,maksssksksss240.png,2
77,26,91,40,maksssksksss240.png,2
85,11,98,22,maksssksksss240.png,2
155,26,162,36,maksssksksss240.png,2
185,22,193,33,maksssksksss240.png,1
203,19,212,29,maksssksksss240.png,1
176,30,188,41,maksssksksss240.png,2
178,44,189,55,maksssksksss240.png,2
170,69,181,79,maksssksksss240.png,1
186,81,194,92,maksssksksss240.png,2
177,93,186,105,maksssksksss240.png,2
177,114,189,127,maksssksksss240.png,2
166,136,181,150,maksssksksss240.png,2
181,156,194,167,maksssksksss240.png,2
184,201,198,211,maksssksksss240.png,2
189,220,206,237,maksssksksss240.png,2
182,219,188,230,maksssksksss240.png,2
203,103,216,115,maksssksksss240.png,1
